Keyword_Pencarian,AssignmentID
97748054,d4783740-5a8a-4586-97f1-e36c98c13b2d
USAHA SARANG BURUNG WALET <SUSANTO>,d4783740-5a8a-4586-97f1-e36c98c13b2d
B RAYA JL,be90855e-337d-4a19-8a98-a341d45e08b0
97747834,72491c04-8774-4a49-ad4b-d1bb7cbb17df
KONVEKSI <SEN CHON>,72491c04-8774-4a49-ad4b-d1bb7cbb17df
Pademangan timur I gang 13 No. 9E,72491c04-8774-4a49-ad4b-d1bb7cbb17df
97747160,5d555839-88cd-4557-ad85-b981c4b42a08
PABRIK MIE <SUNARDI>,5d555839-88cd-4557-ad85-b981c4b42a08
JALAN JELAMBAR ALADIN NO 66,5d555839-88cd-4557-ad85-b981c4b42a08
97747019,9cb45aff-80f6-41f1-899a-96e034512a17
KONVEKSI <VICTOR>,9cb45aff-80f6-41f1-899a-96e034512a17
TPI 1 JALAN,9cb45aff-80f6-41f1-899a-96e034512a17
97746751,ab574676-522e-41dd-a5ed-44bff0e23555
APIO KONFEKSI,ab574676-522e-41dd-a5ed-44bff0e23555
JL. SUNTER BENTENGAN NO.65A,ab574676-522e-41dd-a5ed-44bff0e23555
97746216,6e230ec0-583e-4742-8a72-4e79c6cb7093
SAUNG SEAFOOD,6e230ec0-583e-4742-8a72-4e79c6cb7093
FOOD PLAZA PIK,6e230ec0-583e-4742-8a72-4e79c6cb7093
97746005,9e272a76-528c-4651-8788-0e0862071eb0
KONVEKSI < SITI HAJIR >,9e272a76-528c-4651-8788-0e0862071eb0
JL RAYA PLUMPANG SEMPER,9e272a76-528c-4651-8788-0e0862071eb0
97745575,0b79e532-873d-4b0c-a3d7-bbef27946b4d
YAMANA KONFEKSI,0b79e532-873d-4b0c-a3d7-bbef27946b4d
JL. TELUK GONG F NO. 8,0b79e532-873d-4b0c-a3d7-bbef27946b4d
97745365,cf501dc1-6b8e-4224-8cb4-b2181b2ec5ba
KONVEKSI <ROMI>,cf501dc1-6b8e-4224-8cb4-b2181b2ec5ba
JL TELUK GONG RAYA,328320c2-ac5c-49d5-8121-56780c01a36a
97745289,e6c7573d-86ae-4d2d-bd5a-c6f2dfbf6bd6
GUDANG PERCETAKAN <HARTONO>,e6c7573d-86ae-4d2d-bd5a-c6f2dfbf6bd6
TANAH PASIR RT02 RW 07 NO 12 .JL,e6c7573d-86ae-4d2d-bd5a-c6f2dfbf6bd6
97745136,91809359-9d91-4784-b116-20a9f235eb0a
SARANG WALET <WIHAN>,91809359-9d91-4784-b116-20a9f235eb0a
VIKA MAS 2 BLOK E2 19,91809359-9d91-4784-b116-20a9f235eb0a
97745106,c1b3ed32-91d0-440c-9d17-0328c39ba811
TOKO SINAR JAYA <SAFARUDIN>,c1b3ed32-91d0-440c-9d17-0328c39ba811
LODAN RAYA JL,c1b3ed32-91d0-440c-9d17-0328c39ba811
97743987,551ae3c6-bd31-4ede-a929-9d20a18ceda4
PUTRA JAYA PLASTIK,551ae3c6-bd31-4ede-a929-9d20a18ceda4
KAMAL RAYA JALAN,551ae3c6-bd31-4ede-a929-9d20a18ceda4
97743969,f776cd15-ce0b-4688-98eb-994ac32876b7
KONVEKSI BATU BAYI <RUDI>,f776cd15-ce0b-4688-98eb-994ac32876b7
DHI BLOK RR NO. 21 JL,f776cd15-ce0b-4688-98eb-994ac32876b7
97743959,95191b9a-4bd2-4100-a353-e0050e0f9023
TOHO <JOHAN>,95191b9a-4bd2-4100-a353-e0050e0f9023
PASAR PAGI MAGGA DUA LANTAI DASAR BLOK B NO. 190,95191b9a-4bd2-4100-a353-e0050e0f9023
97743801,28120094-61a3-4670-9b05-c62a1798172a
NANA KONFEKSI/ BERKAH JAYA,28120094-61a3-4670-9b05-c62a1798172a
PADEMANGAN 2 GG 5 NO 35,28120094-61a3-4670-9b05-c62a1798172a
97743595,27fde78e-d82c-4835-b43d-90e6687a84fb
USAHA WALET <LISA>,27fde78e-d82c-4835-b43d-90e6687a84fb
KAPUK MUARA VIKAMAS,27fde78e-d82c-4835-b43d-90e6687a84fb
97743551,2c28c644-2ec1-4d19-a80b-e6c50d3aca37
KONVEKSI <ASENG>,2c28c644-2ec1-4d19-a80b-e6c50d3aca37
KOMPLEK DUTA KEMAYORAN NO.1-3,2c28c644-2ec1-4d19-a80b-e6c50d3aca37
97743237,746fb25e-9a74-4d56-9516-18ee94eaec6c
USAHA SABLON BAJU <MICHAEL>,746fb25e-9a74-4d56-9516-18ee94eaec6c
KOMP DUTA HARAPAN INDAH BLOK K NO. 22,746fb25e-9a74-4d56-9516-18ee94eaec6c
97742941,830e5e2b-1a05-40b4-adde-dac0e03384d5
KONVEKSI ANDRE MICHAEL,830e5e2b-1a05-40b4-adde-dac0e03384d5
JL KAPUK MUARA NO. 8A,830e5e2b-1a05-40b4-adde-dac0e03384d5
97742906,ebf59b3e-138d-4021-9e44-d7bc1862b6f1
KERANG REBUS <EMI>,ebf59b3e-138d-4021-9e44-d7bc1862b6f1
JL. KALIBARU TIMUR IVE,ebf59b3e-138d-4021-9e44-d7bc1862b6f1
97742637,30b4ce56-8985-4549-a6c6-296046553b02
DEPOT NASI CAMPUR,30b4ce56-8985-4549-a6c6-296046553b02
CROWN GOLF MEDITERANIA BLOK B NO 27,30b4ce56-8985-4549-a6c6-296046553b02
97742458,4ced33d0-7809-43c6-b7c5-21f235f53dea
SARANG BURUNG WALET,4ced33d0-7809-43c6-b7c5-21f235f53dea
SILI 3 TELUK GONG RAYA JALAN,4ced33d0-7809-43c6-b7c5-21f235f53dea
97742231,7bcf8cab-f128-4e93-8515-898e917736f0
JUAL IKAN ASIN <TAPAN>,7bcf8cab-f128-4e93-8515-898e917736f0
JL. KALIBARU TIMUR VII,7bcf8cab-f128-4e93-8515-898e917736f0
97741845,5b543018-e777-48cc-b427-cb7969e8954d
KONVEKSI <SONI A>,5b543018-e777-48cc-b427-cb7969e8954d
JALAN PADEMANGAN 6,5b543018-e777-48cc-b427-cb7969e8954d
97741620,18584247-b2de-45f3-908d-e3407716cff3
USAHA JASA JAHIT <HADI>,18584247-b2de-45f3-908d-e3407716cff3
JALAN PADEMANGAN 2 GANG 17 NO.80,18584247-b2de-45f3-908d-e3407716cff3
97741579,0f3e123d-2af3-410b-a1b0-ce6a08046969
"KERANG REBUS <ROYATI>, KERANG REBUS <MARYATI ROHIMAN>",0f3e123d-2af3-410b-a1b0-ce6a08046969
97741126,172c7b15-b0f6-42b4-8ce8-d71b647024c6
BAKMI KARET 96 <AKUANG>,172c7b15-b0f6-42b4-8ce8-d71b647024c6
JALAN PANTAI INDAH KAPUK PRESS MARKET,172c7b15-b0f6-42b4-8ce8-d71b647024c6
97741023,be90855e-337d-4a19-8a98-a341d45e08b0
SARANG WALET <EDI>,be90855e-337d-4a19-8a98-a341d45e08b0
97740176,1c872653-d885-4db0-b372-7be8b84285de
STYLE SPORT,1c872653-d885-4db0-b372-7be8b84285de
